release_version,profile_id,dataset_id,dataset_kind,samples,decode_count,truth_count,scored_truth_count,wall_seconds,cpu_user_seconds,cpu_system_seconds,cpu_seconds,avg_wall_seconds,avg_cpu_user_seconds,avg_cpu_system_seconds,avg_cpu_seconds,tp,fp,fn,precision,recall,f1
2.0.0,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,14.203097164165229,11.50629,0.32234199999999996,11.828632000000002,1.291190651287748,1.0460263636363636,0.029303818181818177,1.075330181818182,0,0,0,,,
2.0.0,deepest,kgoba-ft8-lib,scored,31,396,429,418,57.10926562407985,43.643673,1.10706,44.750733,1.8422343749703178,1.4078604193548387,0.0357116129032258,1.4435720322580645,362,0,56,1.0,0.8660287081339713,0.9282051282051282
2.0.0,medium,d9394-ft8-test-wave,unscored,11,29,0,0,10.766081711277366,8.592196000000001,0.299254,8.891449999999999,0.9787347010252151,0.7811087272727274,0.027204909090909092,0.8083136363636363,0,0,0,,,
2.0.0,medium,kgoba-ft8-lib,scored,31,356,429,418,69.91805458115414,33.172381,2.892473999999999,36.06485500000001,2.2554211155211012,1.0700768064516128,0.09330561290322578,1.163382419354839,326,0,92,1.0,0.7799043062200957,0.8763440860215054
2.0.1,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,14.898025709670037,11.552105999999998,0.32623800000000003,11.878343999999998,1.354365973606367,1.0501914545454545,0.029658000000000004,1.0798494545454544,0,0,0,,,
2.0.1,deepest,kgoba-ft8-lib,scored,31,396,429,418,53.19671279331669,43.662347999999994,1.034286,44.696633999999996,1.7160229933327966,1.4084628387096771,0.033364064516129034,1.4418269032258064,362,0,56,1.0,0.8660287081339713,0.9282051282051282
2.0.1,medium,d9394-ft8-test-wave,unscored,11,29,0,0,10.61906599951908,8.497336,0.29503,8.792366,0.9653696363199163,0.772485090909091,0.026820909090909093,0.799306,0,0,0,,,
2.0.1,medium,kgoba-ft8-lib,scored,31,356,429,418,57.13649170845747,33.304297999999996,1.0224080000000002,34.32670599999999,1.8431126357566925,1.074332193548387,0.032980903225806456,1.107313096774193,326,0,92,1.0,0.7799043062200957,0.8763440860215054
2.1.0,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,16.00449512572959,11.955744,0.4202689999999999,12.376013,1.4549541023390538,1.0868858181818182,0.03820627272727272,1.125092090909091,0,0,0,,,
2.1.0,deepest,kgoba-ft8-lib,scored,31,392,429,418,55.987777455709875,44.31265500000001,1.361569,45.674223999999995,1.8060573372809636,1.429440483870968,0.043921580645161294,1.473362064516129,358,0,60,1.0,0.8564593301435407,0.9226804123711341
